14,14
15,1
20,5
41,21
42,1
68,26
71,3
72,1
76,4
86,10
100,14
123,23
162,39
175,13
179,4
190,11
204,14
209,5
242,33
243,1
247,4
254,7
255,1
256,1
261,5
270,9
271,1
273,2
274,1
293,19
317,24
319,2
329,10
334,5
339,5
341,2
343,2
344,1
351,7
352,1
358,6
362,4
367,5
368,1
369,1
370,1
371,1
372,1
402,30
409,7
421,12
422,1
426,4
435,9
453,18
467,14
471,4
485,14
491,6
495,4
496,1
501,5
510,9
519,9
578,59
586,8
587,1
589,2
594,5
595,1
599,4
607,8
616,9
617,1
618,1
619,1
620,1
621,1
622,1
623,1
631,8
632,1
654,22
662,8
663,1
677,14
708,31
709,1
711,2
714,3
715,1
717,2
719,2
737,18
738,1
758,20
775,17
776,1
777,1
787,10
789,2
811,22
818,7
836,18
846,10
849,3
855,6
865,10
866,1
880,14
881,1
903,22
928,25
937,9
941,4
942,1
962,20
997,35
1003,6
1004,1
1010,6
1011,1
1013,2
1014,1
1046,32
1047,1
1060,13
1065,5
1071,6
1072,1
1073,1
1074,1
1075,1
1084,9
1085,1
1091,6
1101,10
1103,2
1104,1
1115,11
1116,1
1124,8
1125,1
1132,7
1133,1
1139,6
1144,5
1145,1
1146,1
1164,18
1170,6
1182,12
1186,4
1207,21
1211,4
1237,26
1249,12
1250,1
1261,11
1262,1
1266,4
1270,4
1271,1
1278,7
1285,7
1296,11
1298,2
1299,1
1310,11
1324,14
1329,5
1330,1
1332,2
1352,20
1358,6
1359,1
1388,29
1398,10
1420,22
1425,5
1453,28
1461,8
1463,2
1470,7
1477,7
1478,1
1483,5
1484,1
1511,27
1513,2
1525,12
1526,1
1527,1
1528,1
1579,51
1594,15
1600,6
1601,1
1620,19
1623,3
1624,1
1628,4
1644,16
1652,8
1653,1
1655,2
1662,7
1680,18
1682,2
1683,1
1701,18
1723,22
1734,11
1745,11
1748,3
1754,6
1756,2
1758,2
1763,5
1764,1
1765,1
1768,3
1769,1
1784,15
1789,5
1790,1
1796,6
1797,1
1798,1
1801,3
1802,1
1804,2
1810,6
1811,1
1812,1
1821,9
1831,10
1833,2
1834,1
1844,10
1848,4
1886,38
1905,19
1906,1
1909,3
1930,21
1954,24
1958,4
1960,2
1971,11
1978,7
1980,2
1989,9
1991,2
1994,3
1995,1
1999,4
2003,4
2020,17
2034,14
2040,6
2041,1
2042,1
2043,1
2044,1
2045,1
2058,13
2093,35
2111,18
2112,1
2113,1
2118,5
2119,1
2127,8
2128,1
2132,4
2133,1
2149,16
2150,1
2154,4
2162,8
2163,1
2167,4
2168,1
2175,7
2180,5
2181,1
2186,5
2191,5
2192,1
2201,9
2202,1
2205,3
2206,1
2207,1
2219,12
2220,1
2221,1
2237,16
2238,1
2242,4
2267,25
2271,4
2272,1
2278,6
2280,2
2299,19
2300,1
2316,16
2320,4
2321,1
2323,2
2329,6
2330,1
2333,3
2339,6
2340,1
2341,1
2350,9
2359,9
2373,14
2374,1
2392,18
2397,5
2410,13
2420,10
2422,2
2423,1
2424,1
2432,8
2465,33
2466,1
2467,1
2468,1
2474,6
2477,3
2478,1
2489,11
2495,6
2496,1
2511,15
2512,1
2517,5
2519,2
2520,1
2528,8
2537,9
2538,1
2539,1
2555,16
2556,1
2557,1
2558,1
2559,1
2560,1
2563,3
2582,19
2583,1
